Company Name,Symbol,ISIN Code
HDFC BANK LIMITED,HDFCBANK,INE040A01034
RELIANCE INDUSTRIES LIMITED,RELIANCE,INE002A01018
ICICI BANK LIMITED,ICICIBANK,INE090A01021
INFOSYS LIMITED,INFY,INE009A01021
STATE BANK OF INDIA,SBIN,INE062A01020
TATA CONSULTANCY SERVICES LIMITED,TCS,INE467B01029
ETERNAL LIMITED,ETERNAL,INE758T01015
ADANI ENTERPRISES LIMITED,ADANIENT,INE423A01024
LARSEN & TOUBRO LIMITED,LT,INE018A01030
BHARTI AIRTEL LIMITED,BHARTIARTL,INE397D01024
BAJAJ FINANCE LIMITED,BAJFINANCE,INE296A01032
MAHINDRA & MAHINDRA LIMITED,M&M,INE101A01026
WIPRO LIMITED,WIPRO,INE075A01022
BANK OF BARODA,BANKBARODA,INE028A01039
TVS MOTOR COMPANY LIMITED,TVSMOTOR,INE494B01023
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,INE721A01047
EICHER MOTORS LIMITED,EICHERMOT,INE066A01021
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS,INE742F01042
HINDUSTAN UNILEVER LIMITED,HINDUNILVR,INE030A01027
AXIS BANK LIMITED,AXISBANK,INE238A01034
CANARA BANK,CANBK,INE476A01022
TATA STEEL LIMITED,TATASTEEL,INE081A01020
INTERGLOBE AVIATION LIMITED,INDIGO,INE646L01027
AVENUE SUPERMARTS LIMITED,DMART,INE192R01011
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK,INE237A01036
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER,INE067A01029
ADANI POWER LIMITED,ADANIPOWER,INE814H01029
MARUTI SUZUKI INDIA LIMITED,MARUTI,INE585B01010
ASIAN PAINTS LIMITED,ASIANPAINT,INE021A01026
BHARAT ELECTRONICS LIMITED,BEL,INE263A01024
TECH MAHINDRA LIMITED,TECHM,INE669C01036
TATA MOTORS LIMITED,TMCV,INE1TAE01010
BAJAJ AUTO LIMITED,BAJAJ-AUTO,INE917I01010
HCL TECHNOLOGIES LIMITED,HCLTECH,INE860A01027
ADANI ENERGY SOLUTIONS LIMITED,ADANIENSOL,INE931S01010
LODHA DEVELOPERS LIMITED,LODHA,INE670K01029
ITC LIMITED,ITC,INE154A01025
ADANI GREEN ENERGY LIMITED,ADANIGREEN,INE364U01010
TITAN COMPANY LIMITED,TITAN,INE280A01028
TRENT LIMITED,TRENT,INE849A01020
TATA MOTORS PASSENGER VEHICLES LIMITED,TMPV,INE155A01022
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,INE414G01012
DLF LIMITED,DLF,INE271C01023
INDIAN OIL CORPORATION LIMITED,IOC,INE242A01010
HINDALCO INDUSTRIES LIMITED,HINDALCO,INE038A01020
TATA POWER COMPANY LIMITED,TATAPOWER,INE245A01021
OIL & NATURAL GAS CORPORATION LIMITED,ONGC,INE213A01029
BAJAJ FINSERV LIMITED,BAJAJFINSV,INE918I01026
UNION BANK OF INDIA,UNIONBANK,INE692A01016
VEDANTA LIMITED,VEDL,INE205A01025
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA,INE044A01036
VARUN BEVERAGES LIMITED,VBL,INE200M01039
AMBUJA CEMENTS LIMITED,AMBUJACEM,INE079A01024
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,INE192A01025
NTPC LIMITED,NTPC,INE733E01010
DIVI'S LABORATORIES LIMITED,DIVISLAB,INE361B01024
BHARAT PETROLEUM CORPORATION LIMITED,BPCL,INE029A01011
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN,INE121A01024
THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL,INE053A01029
COAL INDIA LIMITED,COALINDIA,INE522F01014
NESTLE INDIA LIMITED,NESTLEIND,INE239A01024
BRITANNIA INDUSTRIES LIMITED,BRITANNIA,INE216A01030
MAZAGON DOCK SHIPBUILDERS LIMITED,MAZDOCK,INE249Z01020
SIEMENS ENERGY INDIA LIMITED,ENRIN,INE1NPP01017
SOLAR INDUSTRIES INDIA LIMITED,SOLARINDS,INE343H01029
